Id de evento;texto_evento;n_filas_originales;n_categorias;n_subcategorias;categorias_originales;subcategorias_originales;categoria_original_unica;subcategoria_original_unica;categoria_modelo;subcategoria_modelo;es_apto_categoria;es_apto_subcategoria;motivo_categoria;motivo_subcategoria;support_categoria;support_subcategoria;Tipo;Fecha Evento;Fecha Final de Evento;Doble/Multiple Afectacion;Resolucion 1612;Resolucion 1820;Divipola Dpto;Departmento;Divipola Municipio;Municipio;Numero de afectados;Genero;Familia;Ocupacion;Etnia;Grupo poblacional;Edad;Estado;Condicion;Departamento receptor;Municipio receptor;Numero de personas recibidas;Fecha de fuente;Tipo de fuente;Nombre de fuente;Fuente;Fecha de corte
3212;Un soldado muerto y 12 heridos en ataque del Clan del Golfo en Turbo, Antioquia || .Antioquia-Turbo-miércoles 3 enero 2024 || Un ataque con explosivos contra una unidad militar de la Décima Séptima Brigada que se movilizaba en la vereda Los Enamorados de Turbo dejó un soldado muerto y otros 12 uniformados heridos en la madrugada de este miércoles, 3 de enero, en el Urabá antioqueño, según denunció el Ejército Nacional.;2;1;1;Acciones armadas;Emboscada;Acciones armadas;Emboscada;Acciones armadas;NO_USAR;1;0;ok;subcategoria_rareza;443;11;Violencia;2024-01-03T00:00:00;;No;No;No;5;Antioquia;5837;Turbo;1;Masculino;;Combatiente;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Militar;;;;03/01/2024;Prensa;El Tiempo;https://www.eltiempo.com/colombia/medellin/antioquia-ataque-explosivo-dejo-un-soldado-muerto-y-12-uniformados-heridos-en-uraba-841096;2025-02-12T09:00:08.6299882Z
3213;Asesinan a migrante venezolana en Medellín || .Antioquia-Medellín-lunes 1 enero 2024 || Una mujer de 29 años, fue asesinada de varias puñaladas, al parecer, a manos de su pareja sentimental en medio de una riña registrada en su apartamento en el barrio Santo Domingo Savio, comuna de El Popular de Medellín.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-01T00:00:00;;No;No;Si;5;Antioquia;5001;Medellín;1;Femenino;;Desconocida;Sin información-Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Civil;;;;02/01/2024;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/una-mujer-venezolana-primera-victima-de-femicidio-de-este-ano-en-medellin;2025-02-12T09:00:08.6302116Z
3223;Asesinan a un hombre en Copacabana, Antioquia || .Antioquia-Copacabana-lunes 1 enero 2024 || Según los reportes, un amigo del joven llegó a su casa para recoger unos zapatos y le informó sobre un altercado con unos sujetos en las inmediaciones. Al intentar intervenir para defender a su amigo, el joven de 25 años recibió cinco disparos y murió.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-01T00:00:00;;No;No;No;5;Antioquia;5212;Copacabana;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;02/01/2024;Sociedad Civil;Analisisurbano.org;https://analisisurbano.org/lo-mataron-por-defender-a-su-amigo-en-copacabana-antioquia/317101/;2025-02-12T09:00:08.6303194Z
3224;Asesinan a un hombre en Girardota, Antioquia || .Antioquia-Girardota-lunes 1 enero 2024 || El homicidio ocurrió en El Totumo, específicamente en el sector conocido como El Basurero. Según los informes preliminares, el hombre de 33 años fue atacado y recibió dos impactos de bala, su cuerpo fue encontrado tendido en la calle y rápidamente trasladado a un centro médico, donde lamentablemente falleció debido a las heridas.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-01T00:00:00;;No;No;No;5;Antioquia;5308;Girardota;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Desconocido;;;;02/01/2024;Sociedad Civil;Analisisurbano.org;https://analisisurbano.org/a-oscar-javier-lo-mataron-a-bala-es-el-primer-homicidio-de-este-ano-en-girardota-antioquia/317106/;2025-02-12T09:00:08.6304252Z
3228;Joven asesinado en la comuna 13 de Medellín || .Antioquia-Medellín-martes 2 enero 2024 || Un hombre fue asesinado de varios disparos en plena vía pública del barrio Corazón de la comuna 13 de Medellín, occidente de Medellín.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-02T00:00:00;;No;No;No;5;Antioquia;5001;Medellín;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;03/01/2024;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/un-joven-fue-asesinado-en-el-barrio-corazon-de-la-comuna-13-de-medellin;2025-02-12T09:00:08.6305301Z
3266;"El Tambo: joven campesino herido tras ataque armado || .Cauca-El Tambo-martes 2 enero 2024 || El hecho violento, de acuerdo con las autoridades, se registró en el corregimiento de Uribe, zona rural del municipio de El Tambo, Cauca. ""El caso se confirmó cuando este ciudadano ingresó a la sala de urgencias del hospital local, a donde fue llevado por los familiares y amigo tras el ataque. De esta forma se conoció que dos sujetos, en motos, llegaron hasta el lugar donde la víctima departía para después dispararle"", agregaron las autoridades.";1;1;1;Ataques contra la población civil;Atentado;Ataques contra la población civil;Atentado;Ataques contra la población civil;Atentado;1;1;ok;ok;1539;107;Violencia;2024-01-02T00:00:00;;No;No;No;19;Cauca;19256;El Tambo;1;Masculino;;Campesino(a) / Agricultor(a);-;Población en general;Mayor de 18 años;Herido;Civil;;;;02/01/2024;Prensa;periodicovirtual.com;https://periodicovirtual.com/el-tambo-joven-campesino-herido-tras-ser-atacado-a-balazos/;2025-02-12T09:00:08.6306334Z
3267;Asesinaron a otro firmante de paz en el sur del Cauca. || .Cauca-Sucre-martes 2 enero 2024 || El firmante de paz fue asesinado por hombres armados en el municipio de Sucre, al sur del Cauca. Las autoridades departamentales exigieron a la Fuerza Pública capturar a los responsables. De acuerdo con el Instituto de Estudios para el Desarrollo y la Paz, Indepaz, la victima fue atacado con disparos en varias oportunidades.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-02T00:00:00;;No;No;No;19;Cauca;19785;Sucre;1;Masculino;;Persona en proceso de reincorporación (PPR);-;Población en general;Mayor de 18 años;Muerto;Civil;;;;02/01/2024;Radio;La W;https://www.wradio.com.co/2024/01/02/asesinaron-a-otro-firmante-de-paz-en-el-sur-del-cauca/;2025-02-12T09:00:08.630761Z
3274;Comunidades repudian el asesinato de otro comunero en el Cauca || .Cauca-Corinto-miércoles 3 enero 2024 || En el norte del Cauca, un comunero indígena fue secuestrado y posteriormente asesinado por desconocidos. Las comunidades advirtieron que, en la zona, los actores armados están ejerciendo el control territorial. La víctima de 44 años fue encontrado sin vida a un costado de la vía que comunica a Corinto con Caloto en el sector conocido como San Rafael. El fallecido había llegado al territorio para compartir las fiestas de fin y comienzo de año con sus familiares. El cuerpo registraba varios impactos de bala. El Consejo Regional Indígena del Cauca, Cric, denunció que el comunero fue abordado por hombres armados en la vereda Guabito del Resguardo López Adentro del municipio de Caloto, obligado a subir a una camioneta y llevado hacia un lugar desconocido.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-03T00:00:00;;No;No;No;19;Cauca;19212;Corinto;1;Masculino;;Lider(esa) Comunitario (a);Indígena-Desconocido;Población en general;Mayor de 18 años;Muerto;Civil;;;;03/01/2024;Radio;La W;https://www.wradio.com.co/2024/01/04/comunidades-repudian-el-asesinato-de-otro-comunero-en-el-cauca/;2025-02-12T09:00:08.6308683Z
3275;Reportaron un homicidio en la zona rural de Bolívar, Cauca || .Cauca-Bolívar-miércoles 3 enero 2024 || ntegrantes de la Defensa Civil del municipio de Bolívar, al sur de Cauca, reportaron el asesinato de un hombre en zona rural de dicha población. Los voluntarios afirmaron que recibieron una llamada de parte de la comunidad de la vereda Bajo Llano, en el corregimiento de El Morro, la cual está ubicada a unos 25 minutos del casco urbano. El hombre respondía al nombre de Libardo Peregrino Gomez Daza de 36 años de edad, el cual al parecer fue atacado con arma de fuego.;1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-03T00:00:00;;No;No;No;19;Cauca;19100;Bolívar;1;Masculino;;Sin Información;-;Población en general;Mayor de 18 años;Muerto;Civil;;;;03/01/2024;Prensa;periodicovirtual.com;https://periodicovirtual.com/reportaron-un-homicidio-en-la-zona-rural-de-bolivar-cauca/;2025-02-12T09:00:08.6309722Z
3327;"Asesinaron a maestra que fue nombrada en un panfleto en Sabanagrande, Atlántico || .Atlántico-Sabanagrande-martes 2 enero 2024 || La maestra Jennifer Paola Barandica Carrillo fue asesinada en su casa del barrio San Juan Bosco, Sabanagrande, Atlántico, en la madrugada del 2 de enero de 2024. La víctima, recientemente mencionada en un panfleto atribuido a ""Los Costeños"", fue atacada por un hombre que la abordó en la puerta de su vivienda, disparándole en la cabeza. La Policía ha iniciado investigaciones relacionadas con el panfleto donde se le acusaba de colaborar con la banda ""Los Pepes"" en Sabanagrande. En el documento, le daban 24 horas junto con otras 15 personas para abandonar el municipio. A pesar de la conmoción expresada en redes sociales y la región, algunos allegados afirman que la profesora no tenía vínculos con los señalamientos. El asesinato, el primero en el Atlántico en 2024, alerta sobre el recrudecimiento de la violencia entre las bandas de Digno Palomino y alias Castor por el control de actividades ilegales en municipios cercanos a Barranquilla.";1;1;1;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;Ataques contra la población civil;Homicidio intencional en persona protegida;1;1;ok;ok;1539;790;Violencia;2024-01-02T00:00:00;;No;No;No;8;Atlántico;8634;Sabanagrande;1;Femenino;;Maestro(a);-;;;Muerto;;;;;02/01/2024;Prensa;El Heraldo;https://www.elespectador.com/colombia/barranquilla/asesinaron-a-maestra-que-fue-nombrada-en-un-panfleto-en-sabanagrande-atlantico/;2025-02-12T09:00:08.6310777Z
